PLAYER,TEAM,MINS,FGM,FGA,FG%,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%,PTS,OFF,DEF,REB,AST,TO,STL,BLK,STK,PF,Fls on:,+/-,GW,GP
M. Gojo Cruz,UPHSD,27.795833333325003,4.666666666666667,11.25,41.4814814815,2.5833333333333335,5.416666666666667,47.6923076923,2.0833333333333335,5.833333333333333,35.7142857143,2.0,2.75,72.7272727273,13.416666666666666,1.0833333333333333,4.333333333333333,5.416666666666667,2.5833333333333335,1.4166666666666667,1.1666666666666667,0.75,1.9166666666666667,1.1666666666666667,2.0833333333333335,4.416666666666667,5.0,12.0
R. Cauguiran,UPHSD,4.93055555555,0.16666666666666666,0.8333333333333334,20.0,0.16666666666666666,0.8333333333333334,20.0,0.0,0.0,0.0,0.6666666666666666,1.0,66.6666666667,1.0,0.6666666666666666,1.5,2.1666666666666665,0.16666666666666666,0.5,0.5,0.16666666666666666,0.6666666666666666,1.3333333333333333,0.6666666666666666,-1.0,2.0,6.0
E. Pizarro,UPHSD,11.921212121218183,2.0,3.6363636363636362,55.0,2.0,3.6363636363636362,55.0,0.0,0.0,0.0,0.6363636363636364,1.2727272727272727,50.0,4.636363636363637,1.0909090909090908,1.4545454545454546,2.5454545454545454,0.8181818181818182,1.0,1.1818181818181819,0.2727272727272727,1.4545454545454546,2.5454545454545454,1.4545454545454546,0.6363636363636364,5.0,11.0
H. Montemayor,UPHSD,8.588888888891667,0.8333333333333334,2.0833333333333335,40.0,0.3333333333333333,0.8333333333333334,40.0,0.5,1.25,40.0,0.25,0.25,100.0,2.4166666666666665,0.25,0.8333333333333334,1.0833333333333333,0.5,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333,1.25,0.3333333333333333,-2.9166666666666665,5.0,12.0
R. Danag,UPHSD,0.9333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
N. Sevilla,UPHSD,5.895833333325,0.75,2.5,30.0,0.75,2.25,33.3333333333,0.0,0.25,0.0,0.0,0.0,0.0,1.5,0.25,1.0,1.25,0.0,0.75,0.25,0.0,0.25,0.25,0.5,-1.5,2.0,4.0
J. Boral,UPHSD,22.294444444449997,2.25,8.583333333333334,26.213592233,1.6666666666666667,5.25,31.746031746,0.5833333333333334,3.3333333333333335,17.5,2.0,2.75,72.7272727273,7.083333333333333,1.5833333333333333,4.0,5.583333333333333,1.6666666666666667,1.4166666666666667,0.5,0.3333333333333333,0.8333333333333334,1.5833333333333333,2.5833333333333335,-4.333333333333333,5.0,12.0
A. Gelsano,UPHSD,14.686111111099999,1.4166666666666667,3.75,37.7777777778,1.3333333333333333,2.5,53.3333333333,0.08333333333333333,1.25,6.6666666667,0.8333333333333334,1.4166666666666667,58.8235294118,3.75,1.1666666666666667,2.0833333333333335,3.25,1.75,1.0833333333333333,0.4166666666666667,0.25,0.6666666666666666,1.9166666666666667,1.4166666666666667,1.75,5.0,12.0
C. Pagaran,UPHSD,25.434722222233333,4.0,11.416666666666666,35.0364963504,2.8333333333333335,6.5,43.5897435897,1.1666666666666667,4.916666666666667,23.7288135593,1.5833333333333333,2.75,57.5757575758,10.75,0.75,3.8333333333333335,4.583333333333333,1.8333333333333333,1.1666666666666667,0.4166666666666667,0.5833333333333334,1.0,1.0833333333333333,2.1666666666666665,-1.5,5.0,12.0
S. Orgo,UPHSD,28.406944444441667,2.9166666666666665,8.25,35.3535353535,1.5833333333333333,3.6666666666666665,43.1818181818,1.3333333333333333,4.583333333333333,29.0909090909,1.4166666666666667,1.9166666666666667,73.9130434783,8.583333333333334,0.9166666666666666,3.9166666666666665,4.833333333333333,3.5,2.5833333333333335,1.5,0.0,1.5,1.9166666666666667,2.4166666666666665,1.75,5.0,12.0
R. Movida,UPHSD,1.3777777778000002,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,2.0,3.0
J. Manuel,UPHSD,12.91805555555,1.0,3.8333333333333335,26.0869565217,0.8333333333333334,2.5,33.3333333333,0.16666666666666666,1.3333333333333333,12.5,0.8333333333333334,1.4166666666666667,58.8235294118,3.0,0.5,1.6666666666666667,2.1666666666666665,1.1666666666666667,1.3333333333333333,0.5,0.16666666666666666,0.6666666666666666,1.4166666666666667,1.0,-3.6666666666666665,5.0,12.0
