TEAM,MINS,FGM,FGA,2PM,2PA,3PM,3PA,FTM,FTA,PTS,OFF,DEF,REB,AST,TO,STL,BLK,STK,PF,Fls on:,+/-,GW,GP,W,L,FG%,2P%,3P%,FT%
AU,3650.0,500.0,1292.0,427.0,937.0,73.0,355.0,281.0,490.0,1354.0,228.0,458.0,686.0,271.0,223.0,180.0,59.0,239.0,367.0,425.0,-59.0,88.0,18.0,7.0,11.0,38.69969040247678,45.5709711846318,20.56338028169014,57.3469387755102
CSB,3650.0,537.0,1226.0,405.0,760.0,132.0,466.0,228.0,385.0,1434.0,238.0,556.0,794.0,334.0,267.0,119.0,67.0,186.0,343.0,351.0,168.0,193.0,18.0,14.0,4.0,43.800978792822185,53.28947368421053,28.326180257510728,59.22077922077922
CSJL,3725.0,475.0,1179.0,344.0,698.0,131.0,481.0,261.0,353.0,1342.0,156.0,505.0,661.0,289.0,275.0,115.0,72.0,187.0,373.0,349.0,-39.0,100.0,18.0,8.0,10.0,40.28837998303647,49.2836676217765,27.234927234927234,73.93767705382436
EAC,3625.0,472.0,1296.0,337.0,802.0,135.0,494.0,244.0,430.0,1323.0,221.0,501.0,722.0,314.0,229.0,130.0,71.0,201.0,390.0,380.0,-16.4,125.0,18.0,9.0,9.0,36.41975308641975,42.01995012468828,27.327935222672064,56.74418604651163
JRU,3600.0,482.0,1224.0,388.0,851.0,94.0,373.0,315.0,456.0,1373.0,219.0,418.0,637.0,327.0,254.0,137.0,62.0,199.0,402.0,400.0,-84.0,58.0,18.0,4.0,14.0,39.37908496732026,45.593419506462986,25.201072386058982,69.07894736842105
LPU,3650.0,506.0,1233.0,375.0,732.0,131.0,501.0,315.0,451.0,1458.0,171.0,468.0,639.0,312.0,211.0,139.0,34.0,173.0,356.0,401.0,2.0,125.0,18.0,10.0,8.0,41.03811841038119,51.22950819672131,26.147704590818364,69.84478935698448
MU,3625.0,480.0,1214.0,326.0,688.0,154.0,526.0,260.0,410.0,1374.0,219.0,481.0,700.0,310.0,244.0,140.0,44.0,184.0,418.0,356.0,78.2,180.0,18.0,15.0,3.0,39.53871499176277,47.383720930232556,29.277566539923953,63.41463414634146
SBU,3650.0,439.0,1140.0,284.0,657.0,155.0,483.0,231.0,378.0,1264.0,193.0,509.0,702.0,261.0,215.0,91.0,43.0,134.0,322.0,346.0,68.0,133.0,18.0,10.0,8.0,38.50877192982456,43.22678843226788,32.091097308488614,61.111111111111114
SSCR,3675.0,533.0,1383.0,385.0,818.0,148.0,565.0,276.0,381.0,1490.0,217.0,427.0,644.0,279.0,209.0,177.0,24.0,201.0,460.0,342.0,-76.0,81.0,18.0,6.0,12.0,38.53940708604483,47.06601466992665,26.194690265486727,72.44094488188976
UPHSD,3700.0,435.0,1162.0,333.0,753.0,102.0,409.0,238.0,381.0,1210.0,208.0,501.0,709.0,317.0,275.0,137.0,69.0,206.0,317.0,351.0,-42.0,79.0,18.0,7.0,11.0,37.4354561101549,44.223107569721115,24.938875305623473,62.46719160104987
League,3655.0,485.9,1234.9,360.4,769.6,125.5,465.3,264.9,411.5,1362.2,207.0,482.4,689.4,301.4,240.2,136.5,54.5,191.0,374.8,370.1,-0.02,116.2,18.0,9.0,9.0,39.3473155721111,46.82952182952183,26.971846120782292,64.37424058323207
