TEAM,MINS,FGM,FGA,2PM,2PA,3PM,3PA,FTM,FTA,PTS,OFF,DEF,REB,AST,TO,STL,BLK,STK,PF,Fls on:,+/-,GW,GP,W,L,FG%,2P%,3P%,FT%
AU,203.84615384615384,29.153846153846153,72.38461538461539,24.615384615384617,52.84615384615385,4.538461538461538,19.53846153846154,14.307692307692308,25.307692307692307,77.15384615384616,12.153846153846153,25.307692307692307,37.46153846153846,15.23076923076923,12.615384615384615,10.076923076923077,2.923076923076923,13.0,21.153846153846153,22.923076923076923,-2.769230769230769,63,13.0,5.0,8.0,40.2763018066,46.5793304221,23.2283464567,56.5349544073
CSB,204.16666666666666,31.666666666666668,69.08333333333333,24.666666666666668,44.5,7.0,24.583333333333332,12.75,21.583333333333332,83.08333333333333,13.75,31.166666666666668,44.916666666666664,18.083333333333332,16.0,7.166666666666667,4.083333333333333,11.25,19.25,19.166666666666668,12.416666666666666,140,12.0,10.0,2.0,45.8383594692,55.4307116105,28.4745762712,59.0733590734
CSJL,209.6153846153846,26.615384615384617,65.15384615384616,19.384615384615383,38.53846153846154,7.230769230769231,26.615384615384617,14.923076923076923,20.076923076923077,75.38461538461539,9.153846153846153,28.307692307692307,37.46153846153846,16.153846153846153,15.615384615384615,5.923076923076923,4.615384615384615,10.538461538461538,20.384615384615383,19.53846153846154,-1.6923076923076923,90,13.0,7.0,6.0,40.8500590319,50.2994011976,27.1676300578,74.3295019157
EAC,202.08333333333334,26.666666666666668,72.08333333333333,18.166666666666668,44.333333333333336,8.5,27.75,15.166666666666666,25.833333333333332,77.0,12.083333333333334,26.666666666666668,38.75,18.083333333333332,13.166666666666666,7.833333333333333,3.8333333333333335,11.666666666666666,22.083333333333332,22.166666666666668,-0.03333333333333333,85,12.0,6.0,6.0,36.9942196532,40.977443609,30.6306306306,58.7096774194
JRU,200.0,26.0,68.5,20.833333333333332,48.0,5.166666666666667,20.5,18.5,27.0,75.66666666666667,12.5,23.083333333333332,35.583333333333336,17.25,14.0,7.916666666666667,4.083333333333333,12.0,19.833333333333332,23.083333333333332,-4.833333333333333,44,12.0,3.0,9.0,37.9562043796,43.4027777778,25.2032520325,68.5185185185
LPU,202.08333333333334,28.333333333333332,70.41666666666667,20.5,41.25,7.833333333333333,29.166666666666668,16.833333333333332,23.333333333333332,81.33333333333333,9.833333333333334,25.666666666666668,35.5,17.5,11.25,7.833333333333333,1.5833333333333333,9.416666666666666,20.083333333333332,21.0,-0.9166666666666666,77,12.0,6.0,6.0,40.2366863905,49.696969697,26.8571428571,72.1428571429
MU,201.92307692307693,26.846153846153847,68.53846153846153,18.384615384615383,39.15384615384615,8.461538461538462,29.384615384615383,13.923076923076923,22.23076923076923,76.07692307692308,13.538461538461538,26.615384615384617,40.15384615384615,15.923076923076923,13.76923076923077,7.615384615384615,2.3846153846153846,10.0,23.692307692307693,20.153846153846153,3.0153846153846158,120,13.0,10.0,3.0,39.1694725028,46.9548133595,28.7958115183,62.6297577855
SBU,203.84615384615384,23.846153846153847,62.53846153846154,15.307692307692308,35.38461538461539,8.538461538461538,27.153846153846153,12.153846153846153,20.76923076923077,68.38461538461539,10.615384615384615,29.23076923076923,39.84615384615385,13.307692307692308,11.76923076923077,5.076923076923077,2.6153846153846154,7.6923076923076925,17.76923076923077,18.846153846153847,3.5384615384615383,106,13.0,8.0,5.0,38.1303813038,43.2608695652,31.4447592068,58.5185185185
SSCR,205.76923076923077,29.23076923076923,79.07692307692308,21.53846153846154,47.61538461538461,7.6923076923076925,31.46153846153846,16.615384615384617,22.923076923076923,82.76923076923077,13.538461538461538,23.153846153846153,36.69230769230769,14.538461538461538,10.923076923076923,9.846153846153847,1.6153846153846154,11.461538461538462,25.846153846153847,20.384615384615383,-6.538461538461538,37,13.0,3.0,10.0,36.9649805447,45.2342487884,24.4498777506,72.4832214765
UPHSD,205.76923076923077,23.76923076923077,66.23076923076923,17.692307692307693,42.07692307692308,6.076923076923077,24.153846153846153,11.76923076923077,18.307692307692307,65.38461538461539,11.384615384615385,28.846153846153847,40.23076923076923,16.76923076923077,14.23076923076923,7.230769230769231,3.769230769230769,11.0,17.76923076923077,18.076923076923077,-1.6923076923076923,58,13.0,5.0,8.0,35.8885017422,42.0475319927,25.1592356688,64.2857142857
League,203.96825396825398,27.182539682539684,69.38095238095238,20.07936507936508,43.333333333333336,7.103174603174604,26.047619047619047,14.658730158730158,22.682539682539684,76.12698412698413,11.84920634920635,26.80952380952381,38.65873015873016,16.238095238095237,13.325396825396826,7.650793650793651,3.1428571428571432,10.793650793650794,20.801587301587304,20.507936507936506,-0.0015873015873015873,82,12.6,6.3,6.3,39.1786776481,46.336996337,27.2699573431,64.6256123163
