,TEAM,MINS,FGM,FGA,FG%,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%,PTS,OFF,DEF,REB,AST,TO,STL,BLK,STK,PF,Fls on:,+/-,GW,GP
J. Morales,CSB,11.5333333333,1.0,3.0,33.333333333333336,0.0,1.0,0.0,1.0,2.0,50.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0
R. Ondoa,CSB,2.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-3.0,1.0,1.0
J. Ancheta,CSB,20.2666666667,3.0,7.0,42.857142857142854,2.0,4.0,50.0,1.0,3.0,33.333333333333336,2.0,2.0,100.0,9.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,2.0,3.0,3.0,11.0,1.0,1.0
I. Torres,CSB,11.1,1.0,4.0,25.0,1.0,2.0,50.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,3.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,-2.0,1.0,1.0
J. Eusebio,CSB,7.6666666667,1.0,4.0,25.0,1.0,2.0,50.0,0.0,2.0,0.0,1.0,2.0,50.0,3.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,-3.0,1.0,1.0
G. Cometa,CSB,20.9,8.0,17.0,47.05882352941177,7.0,11.0,63.63636363636363,1.0,6.0,16.666666666666668,0.0,0.0,0.0,17.0,1.0,3.0,4.0,2.0,2.0,1.0,0.0,1.0,0.0,1.0,17.0,1.0,1.0
E. Serrano,CSB,0.1166666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
J. Cajucom,CSB,9.2833333333,1.0,1.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,-2.0,1.0,1.0
M. Sangco,CSB,20.35,2.0,3.0,66.66666666666667,2.0,3.0,66.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,4.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,11.0,1.0,1.0
J. Sanchez,CSB,26.8833333333,1.0,5.0,20.0,1.0,4.0,25.0,0.0,1.0,0.0,4.0,4.0,100.0,6.0,2.0,4.0,6.0,1.0,3.0,0.0,2.0,2.0,2.0,4.0,6.0,1.0,1.0
