,2PM,2PA,3PM,3PA,FTM,FTA,OFF,DEF,AST,TO,STL,BLK,PF,Fls on:,+/-,GW,GP,MINS,FGM,FGA,FG%,2P%,3P%,FT%,PTS,REB,STK
EAC,154.0,361.0,50.0,205.0,134.0,214.0,118.0,252.0,131.0,117.0,61.0,26.0,174.0,183.0,23.0,68.0,8.0,1600.0,204.0,566.0,36.042402826855124,42.659279778393355,24.390243902439025,62.61682242990654,592.0,370.0,87.0
LPU,213.0,391.0,70.0,234.0,130.0,203.0,117.0,276.0,166.0,128.0,57.0,30.0,194.0,180.0,31.0,68.0,9.0,1800.0,283.0,625.0,45.28,54.47570332480819,29.914529914529915,64.03940886699507,766.0,393.0,87.0
UPHSD,152.0,350.0,69.0,283.0,99.0,163.0,116.0,242.0,126.0,114.0,78.0,23.0,162.0,155.0,13.0,64.0,9.0,1800.0,221.0,633.0,34.913112164297,43.42857142857143,24.381625441696112,60.736196319018404,610.0,358.0,101.0
CSB,180.0,397.0,54.0,251.0,99.0,171.0,105.0,183.0,111.0,114.0,91.0,28.0,171.0,164.0,-105.0,25.0,9.0,1800.0,234.0,648.0,36.111111111111114,45.340050377833755,21.51394422310757,57.89473684210526,621.0,288.0,119.0
MU,140.0,339.0,51.0,170.0,158.0,235.0,78.0,210.0,121.0,109.0,59.0,24.0,161.0,196.0,-28.0,23.0,8.0,1600.0,191.0,509.0,37.524557956778,41.29793510324484,30.0,67.23404255319149,591.0,288.0,83.0
CSJL,183.0,426.0,57.0,256.0,119.0,183.0,123.0,222.0,136.0,89.0,76.0,27.0,168.0,180.0,-16.0,37.0,9.0,1800.0,240.0,682.0,35.19061583577712,42.95774647887324,22.265625,65.02732240437159,656.0,345.0,103.0
JRU,216.0,409.0,55.0,204.0,127.0,184.0,104.0,223.0,120.0,131.0,76.0,32.0,211.0,174.0,37.0,81.0,9.0,1800.0,271.0,613.0,44.208809135399676,52.81173594132029,26.96078431372549,69.02173913043478,724.0,327.0,108.0
SSCR,184.0,345.0,52.0,181.0,162.0,248.0,87.0,254.0,163.0,140.0,53.0,27.0,162.0,207.0,60.0,77.0,8.0,1600.0,236.0,526.0,44.866920152091254,53.333333333333336,28.7292817679558,65.3225806451613,686.0,341.0,80.0
AU,176.0,400.0,69.0,233.0,156.0,227.0,105.0,272.0,157.0,146.0,74.0,34.0,218.0,184.0,11.0,77.0,9.0,1800.0,245.0,633.0,38.70458135860979,44.0,29.613733905579398,68.72246696035242,715.0,377.0,108.0
SBU,128.0,309.0,62.0,248.0,92.0,138.0,84.0,209.0,119.0,69.0,47.0,23.0,170.0,141.0,-26.0,38.0,8.0,1600.0,190.0,557.0,34.1113105924596,41.42394822006472,25.0,66.66666666666667,534.0,293.0,70.0
League,172.6,372.7,58.9,226.5,127.6,196.6,103.7,234.3,135.0,115.7,67.2,27.4,179.1,176.4,0.0,55.8,8.6,1720.0,231.5,599.2,38.634846461949266,46.31070566138986,26.004415011037526,64.9033570701933,649.5,338.0,94.6
