TEAM,2PM,2PA,3PM,3PA,FTM,FTA,OFF,DEF,AST,TO,STL,BLK,PF,Fls on:,+/-,GW,GP,MINS,FGM,FGA,FG%,2P%,3P%,FT%,PTS,REB,STK
CSB,20.0,44.111111111111114,6.0,27.88888888888889,11.0,19.0,11.666666666666666,20.333333333333332,12.333333333333334,12.666666666666666,10.11111111111111,3.111111111111111,19.0,18.22222222222222,-11.666666666666666,25.0,9,200.0,26.0,72.0,36.1111111111,45.3400503778,21.5139442231,57.8947368421,69.0,32.0,13.222222222222221
SBU,16.2,38.9,7.7,30.5,11.3,17.1,10.7,25.8,14.2,9.2,5.9,2.8,19.8,17.9,-4.7,38.0,10,200.0,23.9,69.4,34.4380403458,41.6452442159,25.2459016393,66.081871345,66.8,36.5,8.7
MU,18.2,43.5,6.3,22.0,18.5,27.7,10.0,25.8,14.8,12.3,7.0,2.5,20.4,23.2,-2.5,35.0,10,200.0,24.5,65.5,37.4045801527,41.8390804598,28.6363636364,66.7870036101,73.8,35.8,9.5
League,19.85,43.260000000000005,7.040000000000001,26.339999999999996,14.7,22.669999999999998,12.09,27.02,15.940000000000001,13.36,7.709999999999999,3.12,20.64,20.34,-0.002,65.2,10,200.0,26.889999999999997,69.6,38.6350574713,45.885344429,26.7274107821,64.8434053816,75.52000000000001,39.11,10.83
EAC,18.7,44.7,6.9,26.1,16.7,26.3,14.2,29.8,16.8,14.3,7.9,3.3,21.8,21.9,0.4,68.0,10,200.0,25.6,70.8,36.1581920904,41.8344519016,26.4367816092,63.4980988593,74.8,44.0,11.2
LPU,22.8,41.9,7.9,26.2,14.1,22.1,12.2,29.9,18.2,14.6,6.5,3.5,21.2,19.8,0.8,68.0,10,200.0,30.7,68.1,45.080763583,54.415274463,30.1526717557,63.8009049774,83.4,42.1,10.0
UPHSD,16.454545454545453,38.72727272727273,7.818181818181818,30.545454545454547,11.727272727272727,18.90909090909091,12.909090909090908,26.454545454545453,14.545454545454545,13.272727272727273,8.454545454545455,2.3636363636363638,18.181818181818183,18.09090909090909,1.0,79.0,11,200.0,24.272727272727273,69.27272727272727,35.0393700787,42.4882629108,25.5952380952,62.0192307692,68.0909090909091,39.36363636363637,10.818181818181818
CSJL,20.181818181818183,46.90909090909091,6.909090909090909,28.454545454545453,13.272727272727273,20.09090909090909,14.090909090909092,25.272727272727273,16.363636363636363,10.181818181818182,8.454545454545455,2.909090909090909,18.727272727272727,19.636363636363637,1.5454545454545454,61.0,11,200.0,27.09090909090909,75.36363636363636,35.9469240048,43.023255814,24.2811501597,66.0633484163,74.36363636363636,39.36363636363637,11.363636363636363
AU,19.4,44.8,7.8,25.2,17.2,24.9,11.7,30.1,17.8,15.9,7.9,3.5,24.0,19.9,2.5,92.0,10,200.0,27.2,70.0,38.8571428571,43.3035714286,30.9523809524,69.0763052209,79.4,41.8,11.4
JRU,23.8,45.3,6.1,23.1,14.0,21.3,12.1,24.8,13.2,14.2,8.1,3.9,23.5,20.1,4.12,94.0,10,200.0,29.9,68.4,43.7134502924,52.5386313466,26.4069264069,65.7276995305,79.9,36.9,12.0
SSCR,23.444444444444443,44.0,6.777777777777778,22.555555555555557,19.77777777777778,30.333333333333332,10.88888888888889,32.0,21.444444444444443,17.666666666666668,6.777777777777778,3.4444444444444446,20.0,25.22222222222222,7.844444444444444,92.0,9,200.0,30.22222222222222,66.55555555555556,45.409015025,53.2828282828,30.0492610837,65.2014652015,87.0,42.888888888888886,10.222222222222221
