PLAYER,TEAM,MINS,FGM,FGA,FG%,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%,PTS,OFF,DEF,REB,AST,TO,STL,BLK,STK,PF,Fls on:,+/-,GW,GP
J. Estrada,CSJL,35.65833333335,6.5,16.75,38.8059701493,5.5,13.75,40.0,1.0,3.0,33.3333333333,6.5,7.0,92.8571428571,20.5,1.0,8.0,9.0,6.75,5.25,1.0,0.75,1.75,2.0,6.0,-1.25,1.0,4.0
P. Are,SSCR,21.25833333335,7.0,13.5,51.8518518519,5.5,7.5,73.3333333333,1.5,6.0,25.0,4.0,5.5,72.7272727273,19.5,0.5,1.0,1.5,4.0,1.5,2.5,0.0,2.5,4.0,4.5,-11.0,0.0,2.0
R. Are,SSCR,29.63055555555,5.5,14.583333333333334,37.7142857143,4.416666666666667,9.833333333333334,44.9152542373,1.0833333333333333,4.75,22.8070175439,6.083333333333333,8.166666666666666,74.4897959184,18.166666666666668,2.5,2.75,5.25,4.5,2.5833333333333335,2.5833333333333335,0.08333333333333333,2.6666666666666665,3.3333333333333335,6.333333333333333,-3.5,3.0,12.0
J. Barba,LPU,26.18333333334375,6.1875,13.6875,45.2054794521,4.4375,7.875,56.3492063492,1.75,5.8125,30.1075268817,3.5,4.75,73.6842105263,17.625,1.3125,4.625,5.9375,3.0,2.75,1.125,0.0,1.125,2.25,4.3125,-1.0,8.0,16.0
J. Guiab,JRU,27.145833333325,5.875,9.875,59.4936708861,5.5,8.4375,65.1851851852,0.375,1.4375,26.0869565217,4.6875,6.125,76.5306122449,16.8125,2.4375,3.75,6.1875,2.625,1.5625,0.75,0.0625,0.8125,2.1875,4.75,-0.625,4.0,16.0
C. Escamis,MU,32.581111111106665,5.066666666666666,14.933333333333334,33.9285714286,3.066666666666667,6.133333333333334,50.0,2.0,8.8,22.7272727273,3.466666666666667,4.8,72.2222222222,15.6,0.8666666666666667,2.6666666666666665,3.533333333333333,4.066666666666666,2.3333333333333335,2.0,0.3333333333333333,2.3333333333333335,2.0,4.2,5.666666666666667,12.0,15.0
S. Estrada,CSJL,32.61363636363637,6.0,12.363636363636363,48.5294117647,5.909090909090909,11.363636363636363,52.0,0.09090909090909091,1.0,9.0909090909,3.272727272727273,4.0,81.8181818182,15.363636363636363,1.5454545454545454,5.909090909090909,7.454545454545454,5.363636363636363,4.7272727272727275,0.6363636363636364,1.0,1.6363636363636365,3.4545454545454546,3.5454545454545454,0.6363636363636364,6.0,11.0
K. Gurtiza,EAC,27.73777777777333,4.8,15.8,30.3797468354,2.533333333333333,8.266666666666667,30.6451612903,2.2666666666666666,7.533333333333333,30.0884955752,3.3333333333333335,5.0,66.6666666667,15.2,1.6666666666666667,2.533333333333333,4.2,2.8,1.3333333333333333,1.0666666666666667,0.6,1.6666666666666667,1.6666666666666667,3.466666666666667,-0.7333333333333333,7.0,15.0
N. Aguilar,SSCR,24.911111111133334,5.666666666666667,10.333333333333334,54.8387096774,3.0,4.666666666666667,64.2857142857,2.6666666666666665,5.666666666666667,47.0588235294,0.6666666666666666,1.3333333333333333,50.0,14.666666666666666,1.0,2.6666666666666665,3.6666666666666665,0.6666666666666666,2.3333333333333335,1.0,0.0,1.0,1.3333333333333333,1.6666666666666667,11.666666666666666,1.0,3.0
E. Tagle,SBU,24.2833333333,5.0,10.5,47.619047619,1.0,3.0,33.3333333333,4.0,7.5,53.3333333333,0.5,0.5,100.0,14.5,0.0,1.0,1.0,1.0,0.5,1.0,0.0,1.0,0.5,2.0,11.5,2.0,2.0
A. Liwag,CSB,30.897777777773335,5.6,10.533333333333333,53.164556962,5.6,10.466666666666667,53.5031847134,0.0,0.06666666666666667,0.0,3.066666666666667,6.133333333333334,50.0,14.266666666666667,3.2,7.466666666666667,10.666666666666666,2.2666666666666666,2.1333333333333333,0.6,1.1333333333333333,1.7333333333333334,2.3333333333333335,5.666666666666667,10.133333333333333,13.0,15.0
T. Felebrico,SSCR,30.901111111106665,5.0,10.533333333333333,47.4683544304,4.333333333333333,8.066666666666666,53.7190082645,0.6666666666666666,2.466666666666667,27.027027027,3.2,4.533333333333333,70.5882352941,13.866666666666667,2.2666666666666666,6.4,8.666666666666666,2.2666666666666666,1.8,1.1333333333333333,0.0,1.1333333333333333,2.933333333333333,3.933333333333333,-2.8,4.0,15.0
