TEAM,MINS,FGM,FGA,2PM,2PA,3PM,3PA,FTM,FTA,PTS,OFF,DEF,REB,AST,TO,STL,BLK,STK,PF,Fls on:,+/-,GW,GP,W,L,FG%,2P%,3P%,FT%
AU,3250.0,455.0,1156.0,386.0,828.0,69.0,328.0,239.0,421.0,1218.0,195.0,405.0,600.0,241.0,194.0,162.0,50.0,212.0,325.0,372.0,-55.0,75.0,16.0,6.0,10.0,39.3598615916955,46.61835748792271,21.036585365853657,56.76959619952494
CSB,3250.0,482.0,1095.0,372.0,688.0,110.0,407.0,209.0,348.0,1283.0,218.0,496.0,714.0,296.0,246.0,112.0,64.0,176.0,300.0,313.0,161.0,180.0,16.0,13.0,3.0,44.018264840182646,54.06976744186046,27.027027027027028,60.05747126436781
CSJL,3525.0,449.0,1115.0,322.0,657.0,127.0,458.0,252.0,341.0,1277.0,149.0,477.0,626.0,274.0,256.0,105.0,68.0,173.0,347.0,332.0,-37.0,100.0,17.0,8.0,9.0,40.26905829596413,49.010654490106546,27.729257641921397,73.90029325513197
EAC,3225.0,419.0,1150.0,289.0,706.0,130.0,444.0,217.0,381.0,1185.0,195.0,442.0,637.0,282.0,208.0,114.0,58.0,172.0,356.0,342.0,-14.4,111.0,16.0,8.0,8.0,36.43478260869565,40.934844192634564,29.27927927927928,56.955380577427825
JRU,3200.0,430.0,1094.0,350.0,776.0,80.0,318.0,285.0,417.0,1225.0,196.0,375.0,571.0,285.0,225.0,119.0,57.0,176.0,350.0,363.0,-73.0,58.0,16.0,4.0,12.0,39.30530164533821,45.103092783505154,25.157232704402517,68.34532374100719
LPU,3250.0,452.0,1103.0,333.0,649.0,119.0,454.0,279.0,398.0,1302.0,150.0,410.0,560.0,280.0,193.0,126.0,27.0,153.0,319.0,356.0,-8.0,100.0,16.0,8.0,8.0,40.97914777878513,51.30970724191063,26.211453744493394,70.10050251256281
MU,3225.0,424.0,1082.0,284.0,610.0,140.0,472.0,216.0,345.0,1204.0,199.0,408.0,607.0,260.0,209.0,128.0,37.0,165.0,368.0,304.0,56.2,154.0,16.0,13.0,3.0,39.186691312384475,46.557377049180324,29.661016949152543,62.608695652173914
SBU,3250.0,394.0,1016.0,254.0,577.0,140.0,439.0,204.0,335.0,1132.0,174.0,461.0,635.0,234.0,191.0,85.0,39.0,124.0,286.0,308.0,85.0,133.0,16.0,10.0,6.0,38.77952755905512,44.0207972270364,31.890660592255124,60.8955223880597
SSCR,3275.0,479.0,1246.0,347.0,740.0,132.0,506.0,242.0,333.0,1332.0,201.0,380.0,581.0,248.0,190.0,151.0,23.0,174.0,414.0,304.0,-69.0,67.0,16.0,5.0,11.0,38.4430176565008,46.891891891891895,26.08695652173913,72.67267267267268
UPHSD,3500.0,409.0,1113.0,310.0,720.0,99.0,393.0,207.0,333.0,1124.0,199.0,479.0,678.0,299.0,258.0,126.0,66.0,192.0,291.0,320.0,-46.0,67.0,17.0,6.0,11.0,36.74752920035939,43.05555555555556,25.19083969465649,62.16216216216216
League,3295.0,439.3,1117.0,324.7,695.1,114.6,421.9,235.0,365.2,1228.2,187.6,433.3,620.9,269.9,217.0,122.8,48.9,171.7,335.6,331.4,-0.02,104.5,16.2,8.1,8.1,39.328558639212176,46.71270320817148,27.162834794975115,64.34830230010954
